21.01.2008	118.3556646
15.01.2008	10
21.02.2008	118.3556646
21.03.2008	103.9666672
21.04.2008	118.3666662
21.05.2008	118.3666662
21.06.2008	118.3666662
21.07.2008	118.3666662
21.08.2008	118.3666662
21.09.2008	118.3666662
21.10.2008	119.5249996
21.11.2008	119.5249996
21.12.2008	119.5249996
21.01.2009	119.5249996
21.02.2009	119.5249996
21.03.2009	119.5249996
21.04.2009	119.5249996
21.05.2009	119.5249996
21.06.2009	119.5249996
21.07.2009	119.5249996
21.08.2009	119.5249996
21.09.2009	119.5249996
21.10.2009	119.5249996
21.11.2009	119.5249996
21.12.2009	119.5249996
21.01.2010	119.5249996
21.02.2010	119.5249996
21.03.2010	119.5249996
21.04.2010	119.5249996
21.05.2010	124.7250004
21.06.2010	124.8
21.07.2010	119.8200012
21.08.2010	119.8200012
21.09.2010	119.8200012
21.10.2010	123.7799973
21.11.2010	123.7799973
21.12.2010	123.7799973
21.01.2011	129.3599991
21.02.2011	129.3599991
21.03.2011	129.3599991
21.04.2011	129.8199997
21.05.2011	129.8199997
21.06.2011	129.8199997
21.07.2011	130.3399994
21.08.2011	130.3399994
21.09.2011	130.3399994
21.10.2011	130.3399994
21.11.2011	130.3399994
21.12.2011	130.8600006
21.01.2012	130.8600006
21.02.2012	130.8600006
21.03.2012	130.8600006
21.04.2012	130.8600006
21.05.2012	129.6399994
21.06.2012	129.6399994
21.07.2012	129.6399994
21.08.2012	129.6399994
21.09.2012	129.6399994
21.10.2012	129.6399994
21.11.2012	129.6399994
21.12.2012	129.6399994
21.01.2013	129.6399994
21.02.2013	129.9199997
21.03.2013	129.9199997
21.04.2013	129.9199997
21.05.2013	129.9199997
21.06.2013	128.7833328
21.07.2013	128.7833328
21.08.2013	137.7000008
21.09.2013	137.7000008
21.10.2013	139.7166684
21.11.2013	144.6833369
21.12.2013	143.8833364
21.01.2014	143.3400024
21.02.2014	131.0000015
21.03.2014	131.0000015
21.04.2014	133.3166669
21.05.2014	133.4333356
21.06.2014	133.4333356
21.07.2014	133.4333356
21.08.2014	133.3666674
21.09.2014	133.3666674
21.10.2014	133.3666674
21.11.2014	133.3666674
21.12.2014	133.3666674
21.01.2015	133.3666674
21.02.2015	133.3666674
21.03.2015	133.4500008
21.04.2015	133.4500008
21.05.2015	133.4333356
21.06.2015	133.4333356
21.07.2015	133.4333356
21.08.2015	133.4500008
21.09.2015	133.4500008
21.10.2015	133.4500008
21.11.2015	133.4500008
21.12.2015	133.4500008
21.01.2016	133.4500008
21.02.2016	133.4500008
21.03.2016	126.2166659
21.04.2016	126.2166659
21.05.2016	126.2166659
21.06.2016	126.2166659
21.07.2016	126.2166659
21.08.2016	126.2666664
21.09.2016	126.2666664
21.10.2016	126.2666664
21.11.2016	126.8599991
21.12.2016	126.8599991
21.01.2017	126.8599991
21.02.2017	129.6400009
21.03.2017	129.6400009
21.04.2017	129.6400009
21.05.2017	128.3999996
21.06.2017	129.6400009
21.07.2017	129.6400009
21.08.2017	129.1199997
21.09.2017	129.1199997
21.10.2017	129.1199997
21.11.2017	129.1199997
21.12.2017	129.1199997
21.01.2018	129.1199997
21.02.2018	129.1199997
21.03.2018	129.1199997
21.04.2018	129.1199997
21.05.2018	131.3800003
21.06.2018	131.3800003
21.07.2018	131.3800003
21.08.2018	131.3800003
21.09.2018	131.3800003
21.10.2018	131.3800003
21.11.2018	131.3800003
21.12.2018	131.3800003
21.01.2019	131.3800003
21.02.2019	131.3800003
21.03.2019	131.3800003
21.04.2019	131.3800003
21.05.2019	131.3800003
21.06.2019	131.3800003
21.07.2019	131.3800003
21.08.2019	131.4000015
21.09.2019	131.4000015
21.10.2019	131.4000015
21.11.2019	131.4000015
21.12.2019	131.4000015
21.01.2020	128.0833346
21.02.2020	130.7333349
21.03.2020	130.7333349
21.04.2020	130.7333349
21.05.2020	135.0500018
21.06.2020	135.0500018
21.07.2020	135.0500018
21.08.2020	135.0500018
21.09.2020	135.0500018
21.10.2020	135.0500018
21.11.2020	126.6199997
21.12.2020	126.9249992
21.01.2021	131.0666669
21.02.2021	132.2
21.03.2021	126.6
21.04.2021	126.6
21.05.2021	126.6
21.06.2021	126.6
21.07.2021	126.6
21.08.2021	126.6
21.09.2021	126.6
21.10.2021	126.6
21.11.2021	126.7599991
21.12.2021	126.7599991
21.01.2022	133.8666649
21.02.2022	125.2399994
21.03.2022	125.2399994
21.04.2022	125.2399994
21.05.2022	125.0999985
21.06.2022	125.0999985
21.07.2022	125.0999985
21.08.2022	125.2799988
21.09.2022	125.2799988
21.10.2022	125.2799988
21.11.2022	125.2799988
21.12.2022	125.2799988
21.01.2023	125.2799988
21.02.2023	125.2799988
21.03.2023	121.3599991
21.04.2023	121.3599991
21.05.2023	121.3599991
21.06.2023	121.3599991
21.07.2023	121.3599991
21.08.2023	121.3599991
21.09.2023	121.3799988
21.10.2023	121.3799988
21.11.2023	126.6600006
21.12.2023	126.6600006
21.01.2024	126.6600006
21.02.2024	126.6600006
21.03.2024	126.6600006
21.04.2024	126.6600006
21.05.2024	126.6600006
21.06.2024	126.6600006
21.07.2024	127.875
21.08.2024	126.5499992
